frame_no,timestamp_sec,cx,cy,radius_px
0,0.0,40,189,10.0
1,0.0167,50,188,9.0
2,0.0333,57,187,9.0
3,0.05,65,187,9.0
4,0.0667,71,186,9.0
5,0.0833,79,186,9.0
6,0.1,85,185,9.0
7,0.1167,92,184,9.0
8,0.1333,100,184,9.0
9,0.15,106,183,9.0
10,0.1667,110,183,10.0
11,0.1833,117,182,10.0
12,0.2,124,182,10.0
13,0.2167,131,182,10.0
14,0.2333,138,181,10.0
15,0.25,145,181,10.0
16,0.2667,152,181,10.0
17,0.2833,159,180,10.0
18,0.3,166,180,10.0
19,0.3167,173,180,10.0
20,0.3333,180,180,10.0
21,0.35,187,180,10.0
22,0.3667,194,180,10.0
23,0.3833,201,180,10.0
24,0.4,208,180,10.0
25,0.4167,215,180,10.0
26,0.4333,222,180,10.0
27,0.45,229,180,10.0
28,0.4667,236,180,10.0
29,0.4833,243,180,10.0
30,0.5,250,180,10.0
31,0.5167,257,180,10.0
32,0.5333,264,180,10.0
33,0.55,271,180,10.0
34,0.5667,278,181,10.0
35,0.5833,285,181,10.0
36,0.6,292,181,10.0
37,0.6167,299,182,10.0
38,0.6333,306,182,10.0
39,0.65,313,182,10.0
40,0.6667,320,183,10.0
41,0.6833,327,183,10.0
42,0.7,334,184,10.0
43,0.7167,341,184,10.0
44,0.7333,348,185,10.0
45,0.75,355,186,10.0
46,0.7667,362,186,10.0
47,0.7833,369,187,10.0
48,0.8,376,187,10.0
49,0.8167,383,188,10.0
50,0.8333,390,189,10.0
51,0.85,397,190,10.0
52,0.8667,404,190,10.0
53,0.8833,411,191,10.0
54,0.9,418,192,10.0
55,0.9167,425,193,10.0
56,0.9333,432,194,10.0
57,0.95,439,195,10.0
58,0.9667,446,196,10.0
59,0.9833,453,197,10.0
60,1.0,460,198,10.0
61,1.0167,467,199,10.0
62,1.0333,474,200,10.0
63,1.05,481,201,10.0
64,1.0667,488,202,10.0
65,1.0833,495,204,10.0
66,1.1,502,205,10.0
67,1.1167,509,206,10.0
68,1.1333,516,207,10.0
69,1.15,523,209,10.0
70,1.1667,530,210,10.0
71,1.1833,537,211,10.0
72,1.2,544,213,10.0
73,1.2167,551,214,10.0
74,1.2333,558,216,10.0
75,1.25,565,217,10.0
76,1.2667,572,219,10.0
77,1.2833,579,220,10.0
78,1.3,586,222,10.0
79,1.3167,593,223,10.0
